"Sign Out","退出"
"Sign In","您已成功退出"
"You subscribe to our newsletter.","您订阅我们的时事通讯。"
"You don't subscribe to our newsletter.","您没有订阅我们的时事通讯。"
"You have not set a default shipping address.","您没有设置默认的送货地址。"
"You have not set a default billing address.","您没有设置默认的帐单地址。"
"Address Book","通讯簿"
"Edit Address","更改账单地址"
"Add New Address","添加新地址"
"region","地区"
"Create Order","未指定项目"
"Save Customer","保存客户"
"Delete Customer","删除客户"
"Reset Password","你的密码重设链接已过期。"
"Are you sure you want to revoke the customer's tokens?","你确定你想要撤销客户的令牌?"
"Force Sign-In","强制登录"
"New Customer","新用户"
"Save and Continue Edit","保存并继续编辑"
"Back","后退"
"Please select","请选择"
"Reset","重置"
"ID","ID"
"Product","产品"
"SKU","SKU"
"Quantity","数量"
"Price","价格"
"Total","总额"
"Action","操作"
"Configure","配置"
"Delete","删除"
"Shopping Cart from %1","从 %1 购物车"
"Newsletter","已暂停"
"Newsletter Information","通讯信息"
"Subscribed to Newsletter","订阅新闻通讯"
"Last Date Subscribed","订阅的最后日期"
"Last Date Unsubscribed","取消订阅的最后日期"
"No Newsletter Found","发现没有通讯"
"Start date","开始日期"
"End Date","结束日期"
"Receive Date","接收日期"
"Subject","主题"
"Status","状态"
"Sent","已发送"
"Cancel","保存"
"Not Sent","未发送"
"Sending","发送"
"Paused","已暂停"
"View","查看"
"Unknown","未知"
"Order","订单"
"Purchased","已购买"
"Bill-to Name","收件人姓名"
"Ship-to Name","Ship-to名称"
"Order Total","订单金额"
"Purchase Point","购买点"
"Customer View","客户视图"
"There are no items in customer's shopping cart.","客户的购物车中没有项目。"
"Qty","数量"
"Confirmed","确认"
"Confirmation Required","需要确认"
"Confirmation Not Required","不需确认"
"Indeterminate","不确定"
"The customer does not have default billing address.","客户没有默认的帐单地址。"
"Offline","离线"
"Online","在线"
"Never","永不"
"Deleted Stores","已删除存储区"
"Add Locale","收藏的天数"
"Add Date","添加日期"
"Days in Wish List","天在愿望清单"
"No","否"
"Yes","是"
"Delete File","删除文件"
"Download","下载"
"Delete Image","全尺寸视图"
"View Full Size","查看全尺寸"
"All countries","所有国家"
"Customer Groups","客户组"
"Add New Customer Group","添加新客户组"
"Save Customer Group","保存客户组"
"Delete Customer Group","删除客户组"
"New Customer Group","新的客户群体"
"Edit Customer Group ""%1""","编辑客户组""%1"""
"Group Information","组信息"
"Group Name","群组名称"
"Maximum length must be less then %1 symbols","最大长度必须少然后 %1 符号"
"Tax Class","税收类"
"The customer is now assigned to Customer Group %s.","客户现在分配给客户组 %s。"
"Would you like to change the Customer Group for this order?","若要更改此订单的客户组，好吗?"
"The VAT ID is valid.","增值税 ID 是有效的。"
"The VAT ID entered (%s) is not a valid VAT ID.","输入的增值税 ID (%s) 不是一个有效增值税 id。"
"The VAT ID is valid. The current Customer Group will be used.","增值税 ID 是有效的。将使用当前的客户组。"
"The VAT ID is valid but no Customer Group is assigned for it.","增值税 ID 是有效的但没有客户组分配给它。"
"Based on the VAT ID, the customer belongs to the Customer Group %s.","基于增值税 ID，客户属于客户组 %s。"
"Something went wrong while validating the VAT ID.","出事时验证增值税 id。"
"The customer would belong to Customer Group %s.","客户将属于客户组 %s。"
"There was an error detecting Customer Group.","检测客户组时出错。"
"Validate VAT Number","验证增值税号码"
"Customer Login","客户登录"
"Create New Customer Account","创建新的客户帐户"
"Date of Birth","出生日期"
"Bad request.","请求有误。"
"This confirmation key is invalid or has expired.","此确认密钥无效或已过期。"
"There was an error confirming the account","确认该帐户时出错"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","如果您是注册的增值税客户，请点击 <a href=""%1""> 这里</a>，输入适当的增值税计算您的送货地址。"
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","如果您是注册的增值税客户，请点击 <a href=""%1""> 这里</a>，您的帐单地址输入适当的增值税计算。"
"Thank you for registering with %1.","感谢您注册与 %1。"
"Please check your email for confirmation key.","请检查您的电子邮件确认键。"
"This email does not require confirmation.","这封电子邮件不要求确认。"
"Wrong email.","错误的 Email 格式"
"Your password reset link has expired.","您的密码重置链接已过期。"
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","您必须确认您的帐户，请检查您电子邮件的确认链接或<a href=""%1"">点击此处</a>打开一个新的链接。"
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","已存在此电子邮件地址的帐户。如果你确信它是您的电子邮件地址，<a href=""%1""> 请单击此处</a> 以获取您的密码和访问您的帐户。"
"We can't save the customer.","我们不能保存客户。"
"Please make sure your passwords match.","请确保您的密码相匹配。"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","如果您是注册的增值税客户，请 <a href=""%1""> 点击此处</a> 输入您的运输地址适当增值税的计算。"
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","如果您是注册的增值税客户，请 <a href=""%1""> 点击此处</a> 输入您的运输地址适当增值税的计算。"
"Account Information","账户信息"
"Invalid input","无效的输入"
"You saved the account information.","你保存的帐户信息。"
"Please enter new password.","请输入新密码。"
"Confirm your new password.","确认您的新密码。"
"Something went wrong while changing the password.","在更改密码时出了错。"
"Please correct the email address.","请正确的电子邮件地址。"
"We're unable to send the password reset email.","我们无法发送重新设置密码的电子邮件。"
"Please enter your email.","请输入您的电子邮箱地址。"
"If there is an account associated with %1 you will receive an email with a link to reset your password.","如果与 %1 相关联的帐户，则您将收到电子邮件链接重置您的密码。"
"My Account","我的账户"
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","此帐户尚未确认。<a href=""%1""> 点击这里</a> 重新发送确认电子邮件。"
"Invalid login or password.","无效的登录名或密码。"
"A login and a password are required.","登录名和密码是必需的。"
"New Password and Confirm New Password values didn't match.","新密码和确认新密码值不匹配。"
"Please enter a new password.","请输入一个新密码。"
"You updated your password.","您更新您的密码。"
"Something went wrong while saving the new password.","保存新密码时出了错。"
"You deleted the address.","你删除地址。"
"We can't delete the address right now.","我们现在不能删除该地址。"
"You saved the address.","你保存的地址。"
"We can't save the address.","我们不能保存地址。"
"No customer ID defined.","没有定义的客户 ID。"
"Please correct the quote items and try again.","请更正报价项目，再试一次。"
"You have revoked the customer's tokens.","你已吊销客户的令牌。"
"We can't find a customer to revoke.","我们找不到客户撤销。"
"You deleted the customer group.","你删除客户组。"
"The customer group no longer exists.","客户组不再存在。"
"Customers","客户"
"New Group","新组"
"New Customer Groups","新的客户群体"
"Edit Group","编辑组"
"Edit Customer Groups","编辑客户组"
"You saved the customer group.","你保存的客户组。"
"Please select customer(s).","请选择客户。"
"Customer could not be deleted.","无法删除客户。"
"You deleted the customer.","你删除的客户。"
"Something went wrong while editing the customer.","编辑客户时出了错。"
"Manage Customers","客户管理"
"Please correct the data sent.","请更正发送的数据。"
"A total of %1 record(s) were updated.","更新记录 %1"
"A total of %1 record(s) were deleted.","共有 %1 条记录被删除。"
"The customer will receive an email with a link to reset password.","客户将收到一封电子邮件以将其重置密码的链接。"
"Something went wrong while resetting customer password.","在重置用户密码时出了错。"
"You saved the customer.","你保存的客户。"
"Something went wrong while saving the customer.","编辑客户时出了错。"
"Page not found.","找不到网页。"
"Online Customers","在线客户"
"Customers Now Online","客户现在在线"
"Please define Wish List item ID.","请定义的收藏列表项 id。"
"Please load Wish List item.","请加载的收藏列表项。"
"Login successful.","登录成功。"
"""%1"" section source is not supported","不支持""%1""节源"
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 不延长 \Magento\Customer\CustomerData\SectionSourceInterface"
"No confirmation needed.","没有需要的确认。"
"Account already active","帐户已激活"
"Invalid confirmation token","无效的确认令牌"
"This account is not confirmed.","此帐户尚未确认。"
"This customer already exists in this store.","此客户已存在于此存储。"
"A customer with the same email already exists in an associated website.","相关网站中已存在具有相同的电子邮件的客户。"
"The password doesn't match this account.","密码不匹配此帐户。"
"Please enter a password with at least %1 characters.","请至少输入一个密码与 %1 字符。"
"The password can't begin or end with a space.","密码不能开始或以空格结尾。"
"Reset password token mismatch.","重置密码令牌不匹配。"
"Reset password token expired.","重置密码令牌到期。"
"Please correct the transactional account email type.","请更正的事务性的帐户电子邮件类型。"
"Please enter the first name.","请输入姓氏。"
"Please enter the last name.","请输入姓氏。"
"Please enter the street.","请输入国家。"
"Please enter the city.","请输入城市。"
"Please enter the phone number.","请输入电话号码。"
"Please enter the zip/postal code.","请输入邮政编码。"
"Please enter the country.","请输入该国。"
"Please enter the state/province.","请输入省/市/自治区。"
"""%1"" is a required value.","“%1”的长度必须等于或小于%2个字符。"
"Global","全球"
"Per Website","每个网站"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","当帐户共享相同的电子邮件地址，多个网站上，我们不能全局共享客户帐户。"
"Billing Address","账单地址"
"Shipping Address","送货地址"
"-- Please Select --","-- 请选择 --"
"Please enter a first name.","请输入名字。"
"Please enter a last name.","请输入姓氏。"
"Please correct this email address: ""%1"".","请更正此电子邮件地址:""%1""。"
"Please enter a date of birth.","请输入出生的日期。"
"Please enter a TAX/VAT number.","请输入税/增值税号码。"
"Please enter a gender.","请输入性别。"
"Please enter a valid password reset token.","请输入有效的密码重置标记。"
"The password can not begin or end with a space.","密码不能开始或以空格结尾。"
"Admin","管理员"
"Attribute object is undefined","是未定义的属性对象"
"""%1"" invalid type entered.","""%1""输入的类型无效。"
"""%1"" contains non-alphabetic or non-numeric characters.","""%1""中包含非字母或非数字字符。"
"""%1"" is an empty string.","""%1""是一个空字符串。"
"""%1"" contains non-numeric characters.","""%1""包含非数字字符。"
"""%1"" contains non-alphabetic characters.","""%1""中包含非字母字符。"
"""%1"" is not a valid email address.","""%1""不是一个有效的电子邮件地址。"
"""%1"" is not a valid hostname.","""%1""不是一个有效的主机名。"
"""%1"" uses too many characters.","""%1""使用太多的字符。"
"'%value%' looks like an IP address, which is not an acceptable format.","'%value%' 看上去像一个 IP 地址，不是一种可接受的格式。"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' 看上去像一个 DNS 主机名，但我们不能匹配对照已知列表 TLD。"
"'%value%' looks like a DNS hostname but contains a dash in an invalid position.","'%value%' 看上去像一个 DNS 主机名，但包含一个破折号在无效的位置。"
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' 看上去像一个 DNS 主机名，但我们不能以 TLD '%tld%' 的与匹配对照主机名的架构。"
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' 看上去像一个 DNS 主机名，但不能提取 TLD 部分。"
"'%value%' does not look like a valid local network name.","'%value%' 不像一个有效的本地网络名称。"
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' 看上去像一个本地网络名称，不是一种可接受的格式。"
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' 似乎是一个 DNS 主机名，但不能解码的给定的 punycode 符号。"
"""%1"" is not a valid URL.","""%1""不是一个有效的 URL。"
"""%1"" is not a valid date.","""%1""不是一个有效的日期。"
"""%1"" does not fit the entered date format.","""%1""并不适合输入的日期格式。"
"Please enter a valid date between %1 and %2 at %3.","请输入一个有效的日期 %1 和 %2 在 %3 之间。"
"Please enter a valid date equal to or greater than %1 at %2.","请输入一个有效的日期等于或大于 %1 在 %2。"
"Please enter a valid date less than or equal to %1 at %2.","请输入较少或等于 %1 在 %2 有效日期。"
"""%1"" is not a valid file extension.","""%1""不是一个有效的文件扩展名。"
"""%1"" is not a valid file.","""%1""不是一个有效的文件。"
"""%1"" exceeds the allowed file size.","""%1""超出了允许的文件大小。"
"""%1"" is not a valid image format.","""%1""不是有效的图像格式。"
"""%1"" width exceeds allowed value of %2 px.","""%1""宽度超过允许的值的 %2 px。"
"""%1"" height exceeds allowed value of %2 px.","""%1""高度超过允许的值的 %2 px。"
"""%1"" length must be equal or greater than %2 characters.","""%1""长度必须等于或大于 %2 个字符。"
"""%1"" length must be equal or less than %2 characters.","""%1""长度必须等于或小于 %2 字符。"
"label","标签"
"Please enter a customer email.","请输入客户的电子邮件。"
"A customer website ID must be specified when using the website scope.","使用网站范围时，必须指定一个客户网站 ID。"
"Customer Group","客户组"
"You can't delete group \"%1\".","您不能删除组 \"%1\"。"
"Customer Group already exists.","客户组已存在。"
"Cannot delete group.","无法删除组。"
"Error during VAT Number verification.","增值税号码验证期间出现错误。"
"PHP SOAP extension is required.","PHP SOAP 扩展是必需的。"
"VAT Number is valid.","VAT号码无效。"
"Please enter a valid VAT number.","请输入一个有效的 VAT 号码。"
"Your VAT ID was successfully validated.","你VAT ID 被成功验证。"
"You will be charged tax.","你将收取税收。"
"You will not be charged tax.","不，你将收取税收。"
"The VAT ID entered (%1) is not a valid VAT ID.","输入的VAT ID (%s) 不是一个有效VAT ID。"
"Your Tax ID cannot be validated.","无法验证您的Tax ID。"
"If you believe this is an error, please contact us at %1","如果你认为这是错误的请致电 %1"
"Male","男性"
"Female","女性"
"Not Specified","未指定"
"Thank you for registering with","感谢您注册与"
"enter your billing address for proper VAT calculation","您的帐单地址输入适当的VAT 计算"
"enter your shipping address for proper VAT calculation","您的帐单地址输入适当的VAT 计算"
"message","信息"
"NoSuchEntityException","NoSuchEntityException"
"Exception","例外"
"InputException","InputException"
"Exception message","异常消息"
"Validator Exception","验证程序异常"
"Localized Exception","本地化的异常"
"Label","标签"
"Select...","选择。。。"
"Edit","编辑"
"Visitor","游客"
"Customer","客户"
"No item specified.","没有指定的项。"
"Are you sure you want to remove this item?","你确定要删除这个项目吗？"
"Personal Information","个人信息"
"Last Logged In:","上次登录:"
"Last Logged In (%1):","上次登录在 (%1):"
"Confirmed email:","已确认的电子邮件:"
"Account Created:","创建的帐户:"
"Account Created on (%1):","(%1) 上创建的帐户:"
"Account Created in:","在中创建的帐户:"
"Customer Group:","客户组"
"Default Billing Address","创建帐号"
"Sales Statistics","销售统计"
"Web Site","网站"
"Store","商店"
"Store View","商店界面"
"Lifetime Sales","终身销售"
"Average Sale","平均销售"
"All Store Views","所有商店界面"
"Change","更改"
"Manage Addresses","管理地址"
"Default Shipping Address","默认送货地址"
"Contact Information","联系信息"
"Change Password","更改密码"
"Newsletters","通讯"
"You subscribe to ""General Subscription"".","您订阅""一般订阅""。"
"or","或者"
"Default Addresses","默认地址"
"Change Billing Address","更改账单地址"
"You have no default billing address in your address book.","你有没有默认的帐单地址簿中的地址。"
"Change Shipping Address","更改送货地址"
"You have no default shipping address in your address book.","你有没有缺省的送货地址在您的通讯簿。"
"Additional Address Entries","额外的地址条目"
"Delete Address","删除地址"
"You have no other address entries in your address book.","你有没有其他的地址条目在您的通讯簿。"
"* Required Fields","*必要字段"
"Company","地址"
"Phone Number","电话号码"
"Fax","传真"
"Address","地址"
"Street Address","街道地址"
"Street Address %1","街道地址 %1"
"VAT Number","增值税号码"
"City","城市"
"State/Province","州/省"
"Please select a region, state or province.","请选择一个地区，州或省。"
"Zip/Postal Code","邮编"
"Country","国家"
"Use as my default billing address","使用作为我的默认帐单地址"
"Use as my default shipping address","使用作为我的默认送货地址"
"Save Address","保存地址"
"Go back","返回"
"Please enter your email below and we will send you the confirmation link.","请输入您的电子邮件下面，我们将发送您的确认链接。"
"Email","邮箱"
"Send confirmation link","发送确认链接"
"Back to Sign In","回去签到"
"Current Password","当前密码"
"New Password","新密码"
"Confirm New Password","确认新密码"
"Save","保存"
"Please enter your email address below to receive a password reset link.","请输入您的电子邮件地址来接收密码重置链接。"
"Submit","提交"
"Registered Customers","客户加入日期"
"If you have an account, sign in with your email address.","如果你有一个帐户，使用您的电子邮件地址登录。"
"Password","密码"
"Login","登录"
"Forgot Your Password?","您忘记密码了吗?"
"Subscription option","订阅选项"
"General Subscription","一般的订阅"
"Sign Up for Newsletter","校刊订阅"
"Address Information","地址信息"
"Sign-in Information","登录信息"
"Confirm Password","确认密码"
"Create an Account","创建帐户"
"Set a New Password","设置新的密码"
"You have signed out and will go to our homepage in 5 seconds.","你已退出，在 5 秒钟后将转到我们的主页。"
"New Customers","请在该字段中输入大于或等于1的数字"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","创建帐户有很多好处: 更快地查阅，保持多个地址，跟踪订单和更多。"
"Gender","性别"
"Name","名字"
"Tax/VAT number","增值税/VAT 号码"
"%name,","%名称，"
"Welcome to %store_name.","欢迎来到 %store_name。"
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","如果要登录到我们的网站，请使用这些凭据，在签出期间或在 <a href=""%customer_url""> 我的帐户</a> 页面:"
"Email:","Email： "
"Password:","密码:"
"Password you set when creating account","在创建帐户时设置的密码"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","忘记了您的帐户密码?点击 <a href=""%reset_url""> 这里</a> 重置它。"
"When you sign in to your account, you will be able to:","当您登录到您的帐户时，您将能够:"
"Proceed through checkout faster","更快地进行结帐"
"Check the status of orders","检查订单的状态"
"View past orders","查看过去的订单"
"Store alternative addresses (for shipping to multiple family members and friends)","存储备用地址 (用于运送到多个家庭成员和朋友)"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","您必须确认您的 %customer_email 电子邮件之前您可以登录 (链接有效期只有一次):"
"Confirm Your Account","确认您的帐户"
"Thank you for confirming your %store_name account.","谢谢你确认您的 %store_name 帐户。"
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","要登录到我们的站点并设置密码，请单击 <a href=""%create_password_url""> 链接</a>:"
"There was recently a request to change the password for your account.","最近被更改为您的帐户密码的请求。"
"If you requested this change, set a new password here:","如果您要求此更改，在这里设置一个新密码:"
"If you did not make this request, you can ignore this email and your password will remain the same.","如果你并没有提出这一请求，您可以忽略这封电子邮件，您的密码将保持不变。"
"The password for your account has been successfully changed.","您的帐户的密码更改成功。"
"If you did not request this change, please contact us.","如果你没有请求进行此更改，请联系我们。"
"Are you sure you want to do this?","您确认要这么做么？"
"Are you sure you want to delete this address?","是否确实要删除此地址?"
"Customer Configuration","客户配置"
"Account Sharing Options","帐户共享选项"
"Share Customer Accounts","共享客户帐户"
"Create New Account Options","创建新帐户选项"
"Enable Automatic Assignment to Customer Group","启用自动分配给客户组"
"Tax Calculation Based On","税收计算基于"
"Default Group","默认组"
"Group for Valid VAT ID - Domestic","有效VAT ID - Domestic"
"Group for Valid VAT ID - Intra-Union","有效VAT  ID - Intra-Union"
"Group for Invalid VAT ID","组为无效VAT  ID 的"
"Validation Error Group","验证组时出错"
"Validate on Each Transaction","验证每个交易记录"
"Default Value for Disable Automatic Group Changes Based on VAT ID","禁用自动组更改基于VAT  ID 的默认值"
"Show VAT Number on Storefront","在店面上显示VAT 号码"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","若要在店面上显示增值税号码，店面选项为是设置显示增值税编号。"
"Default Email Domain","默认的电子邮件域"
"Default Welcome Email","默认的欢迎电子邮件"
"Email template chosen based on theme fallback when ""Default"" option is selected.","电子邮件模板选择基于主题的回退时，选择“默认”选项。"
"Default Welcome Email Without Password","默认没有密码的欢迎电子邮件"
"
                        This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","将默认的欢迎电子邮件，发送这封电子邮件，如果没有密码创建客户的。< br / > < br / > 选中""默认""选项时，选择电子邮件模板基于主题备用。                    "
"Email Sender","电子邮件发件人"
"Require Emails Confirmation","需要电子邮件确认"
"Confirmation Link Email","确认链接的电子邮件"
"Welcome Email","欢迎电子邮件"
"
                        This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","这封电子邮件将被发送而不是默认的欢迎电子邮件帐户确认后。< br / > < br / > 选中""默认""选项时，选择电子邮件模板基于主题备用。                    "
"Generate Human-Friendly Customer ID","生成人性化客户 ID"
"Password Options","密码选项"
"Forgot Email Template","忘了电子邮件模板"
"Remind Email Template","提醒电子邮件模板"
"Reset Password Template","重置密码模板"
"Password Template Email Sender","密码模板电子邮件发件人"
"Recovery Link Expiration Period (days)","恢复链接过期期限 (天)"
"Please enter a number 1 or greater in this field.","请在此字段中输入数量大于或等于 1。"
"Name and Address Options","名称和地址选项"
"Number of Lines in a Street Address","街道地址中的行数"
"Leave empty for default (2). Valid range: 1-4","留空为默认 (2)。有效范围: 1-4"
"Show Prefix","显示前缀"
"The title that goes before name (Mr., Mrs., etc.)","标题名称 (先生、 太太等) 的前奏"
"Prefix Dropdown Options","前缀下拉选项"
"
                        Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.
                    ","分号 (;) 分隔的值.<br/>把分号放在空的第一个选项开始。 <br/>为打开的文本字段为空。                    "
"Show Middle Name (initial)","显示中间名 (初始)"
"Always optional.","始终是可选的。"
"Show Suffix","显示后缀"
"The suffix that goes after name (Jr., Sr., etc.)","后 (Jr.，高级，等等) 的名称后缀"
"Suffix Dropdown Options","后缀下拉选项"
"Show Date of Birth","显示出生的日期"
"Show Tax/VAT Number","显示税/增值税号码"
"Show Gender","显示性别"
"Login Options","登录选项"
"Redirect Customer to Account Dashboard after Logging in","登录后将客户重定向到仪表板帐户"
"Customer will stay on the current page if ""No"" is selected.","客户将停留在当前页面上，如果选择""否""。"
"Address Templates","地址模板"
"Online Customers Options","在线客户选项"
"Online Minutes Interval","在线分钟间隔"
"Leave empty for default (15 minutes).","留空为默认值 (15 分钟)。"
"Enable Autocomplete on login/forgot password forms","在忘记登录/密码形式上启用自动完成"
"Customer Grid","客户网格"
"Rebuild Customer grid index","重新生成客户网格索引"
"Group","分组"
"Add New Customer","添加新客户"
"Delete items","删除项目"
"Are you sure to delete selected customers?","是否确实要删除所选的客户?"
"Subscribe to Newsletter","订阅到新闻通讯"
"Unsubscribe from Newsletter","取消订阅新闻通讯"
"Are you sure to unsubscribe selected customers from newsletter?","是否确实要取消所选的客户订阅新闻通讯?"
"Assign a Customer Group","分配一个客户组"
"Are you sure to assign selected customers to new group?","是否确实要将选定的客户分配给新的组?"
"Phone","电话"
"ZIP","邮编"
"Customer Since","客户自"
"Last Logged In","上次登录"
"Confirmed email","已确认的电子邮件"
"Account Created in","在中创建帐户"
"Tax VAT Number","税务增值税号码"
"Billing Firstname","计费名字"
"Billing Lastname","姓氏计费"
"First Name","姓"
"Last Name","姓"
"Last Activity","最后一次活动"
"Type","类型"
"Customer Information","客户信息"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","如果你的 Magento 网站有多个视图，您可以设置适用于特定视图的范围。"
"Send Welcome Email From","发送欢迎电子邮件从"
"Addresses","地址"
"Are you sure you want to delete this item?","您确定要删除此项吗？"
"Account Dashboard","仪表板帐户"
"Edit Account Information","编辑帐户信息"
"Password forgotten","密码忘记了"
"My Dashboard","我的仪表板"
"You are signed out.","你已注销"
